FL, B15, B30, B45, B60, B75, A90, A75, A60, A45, A30, A15, FR, vel-10, vel-9, vel-8, vel-7, vel-6, vel-5, vel-4, vel-3, vel-2, vel-1, steering_angle, throttle, brake
2.308708, 2.281579, 2.301883, 2.490772, 2.932835, 3.605572, 4.909463, 6.699691, 9.183887, 12.090826, 2.817999, 2.172205, 1.884638, 28.586984, 28.434507, 28.170908, 28.156770, 28.189308, 28.390733, 28.450869, 28.300799, 28.254526, 28.427290, 0.141089, 0.305547, -0.000000
2.589953, 2.454872, 2.496757, 2.725161, 3.113551, 3.771952, 4.875750, 6.248909, 8.383377, 11.262274, 3.363889, 1.964907, 1.594295, 27.370284, 27.603338, 28.512801, 28.033177, 29.058706, 31.489824, 29.068839, 29.767168, 30.333891, 31.628410, 0.163575, 0.578119, -0.000000
2.518197, 2.406418, 2.467146, 2.712204, 3.027987, 3.714185, 4.683600, 6.096258, 8.187748, 11.120408, 3.574949, 2.171811, 1.644731, 27.603338, 28.512801, 28.033177, 29.058706, 31.489824, 29.068839, 29.767168, 30.333891, 31.628410, 48.860678, 0.162700, 0.566400, -0.000000
2.458778, 2.367811, 2.446269, 2.616645, 2.947563, 3.660522, 4.487557, 5.880321, 7.976755, 10.960433, 4.294655, 2.358767, 1.814344, 28.512801, 28.033177, 29.058706, 31.489824, 29.068839, 29.767168, 30.333891, 31.628410, 48.860678, 31.604377, 0.167215, 0.554681, -0.000000
2.415411, 2.344987, 2.409508, 2.536175, 2.884883, 3.620433, 4.303805, 5.667055, 7.781356, 10.823987, 4.897084, 2.511343, 1.962010, 28.033177, 29.058706, 31.489824, 29.068839, 29.767168, 30.333891, 31.628410, 48.860678, 31.604377, 30.830297, 0.177365, 0.519524, -0.000000
2.389798, 2.340172, 2.329815, 2.473936, 2.844465, 3.436883, 4.137090, 5.470557, 7.609485, 10.722215, 5.214833, 2.628779, 2.086166, 29.058706, 31.489824, 29.068839, 29.767168, 30.333891, 31.628410, 48.860678, 31.604377, 30.830297, 31.312489, 0.186294, 0.476173, -0.000000
2.382632, 2.268224, 2.268367, 2.431848, 2.829770, 3.268895, 3.990739, 5.294717, 7.468002, 10.634589, 15.789845, 2.712833, 2.187159, 31.489824, 29.068839, 29.767168, 30.333891, 31.628410, 48.860678, 31.604377, 30.830297, 31.312489, 32.034455, 0.202391, 0.448386, -0.000000
2.346279, 2.208551, 2.231243, 2.417925, 2.774937, 3.124808, 3.878002, 5.155713, 7.381525, 10.579404, 16.279469, 2.810834, 2.259586, 29.068839, 29.767168, 30.333891, 31.628410, 48.860678, 31.604377, 30.830297, 31.312489, 32.034455, 31.623449, 0.221170, 0.408713, -0.000000
2.283101, 2.173762, 2.220571, 2.435353, 2.634911, 3.007351, 3.804168, 5.059687, 7.362125, 10.592362, 17.043535, 2.944751, 2.304969, 29.767168, 30.333891, 31.628410, 48.860678, 31.604377, 30.830297, 31.312489, 32.034455, 31.623449, 31.668251, 0.228350, 0.380941, -0.000000
2.243904, 2.161367, 2.233454, 2.354119, 2.514614, 2.911853, 3.713668, 4.997071, 7.397501, 10.659136, 18.714340, 3.033722, 2.331046, 30.333891, 31.628410, 48.860678, 31.604377, 30.830297, 31.312489, 32.034455, 31.623449, 31.668251, 32.308896, 0.236522, 0.361089, -0.000000
2.227753, 2.170950, 2.215559, 2.232346, 2.414112, 2.839135, 3.593175, 4.971379, 7.394506, 10.786548, 20.627098, 3.087765, 2.384081, 31.628410, 48.860678, 31.604377, 30.830297, 31.312489, 32.034455, 31.623449, 31.668251, 32.308896, 31.532619, 0.240326, 0.349187, -0.000000
2.234656, 2.199784, 2.091415, 2.132081, 2.336046, 2.794096, 3.498141, 4.918372, 7.349867, 11.002557, 22.990812, 3.109309, 2.455329, 48.860678, 31.604377, 30.830297, 31.312489, 32.034455, 31.623449, 31.668251, 32.308896, 31.532619, 31.814551, 0.244251, 0.357122, -0.000000
2.260693, 2.064602, 1.986571, 2.048612, 2.274350, 2.720399, 3.417864, 4.844468, 7.322801, 11.278008, 25.294327, 3.117194, 2.511874, 31.604377, 30.830297, 31.312489, 32.034455, 31.623449, 31.668251, 32.308896, 31.532619, 31.814551, 31.711312, 0.248752, 0.361089, -0.000000
2.160591, 1.954265, 1.903046, 1.985588, 2.234947, 2.620401, 3.363588, 4.801104, 7.335423, 11.667594, 27.805756, 3.104826, 2.549821, 30.830297, 31.312489, 32.034455, 31.623449, 31.668251, 32.308896, 31.532619, 31.814551, 31.711312, 31.164897, 0.250971, 0.369024, -0.000000
